recognitionTarget,source
ふんわり,N1 2015-07 言語知識 問題2
よほど,N1 2015-07 言語知識 問題2
いっそう,N1 2015-07 言語知識 問題2
しいて,N1 2015-07 言語知識 問題2
いかにも,N1 2015-07 言語知識 問題2
該当,N1 2015-07 言語知識 問題2
順応,N1 2015-07 言語知識 問題2
相当,N1 2015-07 言語知識 問題2
適応,N1 2015-07 言語知識 問題2
なじんで,N1 2015-07 言語知識 問題2
絡んで,N1 2015-07 言語知識 問題2
おさまって,N1 2015-07 言語知識 問題2
紛れて,N1 2015-07 言語知識 問題2
仕上がったら,N1 2015-07 言語知識 問題3
届いたら,N1 2015-07 言語知識 問題3
売れたら,N1 2015-07 言語知識 問題3
受賞したら,N1 2015-07 言語知識 問題3
完成したら,N1 2015-07 言語知識 問題3
互角,N1 2015-07 言語知識 問題3
徐々に離れている,N1 2015-07 言語知識 問題3
全然違う,N1 2015-07 言語知識 問題3
徐々に近づいている,N1 2015-07 言語知識 問題3
大体同じだ,N1 2015-07 言語知識 問題3
クレーム,N1 2015-07 言語知識 問題3
返品,N1 2015-07 言語知識 問題3
注文,N1 2015-07 言語知識 問題3
苦情,N1 2015-07 言語知識 問題3
質問,N1 2015-07 言語知識 問題3
助言,N1 2015-07 言語知識 問題3
アドバイス,N1 2015-07 言語知識 問題3
インタビュー,N1 2015-07 言語知識 問題3
プレゼン,N1 2015-07 言語知識 問題3
トレーニング,N1 2015-07 言語知識 問題3
錯覚,N1 2015-07 言語知識 問題3
疑う,N1 2015-07 言語知識 問題3
勘違いする,N1 2015-07 言語知識 問題3
焦る,N1 2015-07 言語知識 問題3
油断する,N1 2015-07 言語知識 問題3
殺到,N1 2015-07 言語知識 問題3
一度に大勢来た,N1 2015-07 言語知識 問題3
急に来なくなった,N1 2015-07 言語知識 問題3
増え続けた,N1 2015-07 言語知識 問題3
減り続けた,N1 2015-07 言語知識 問題3
没頭,N1 2015-07 言語知識 問題4
人手,N1 2015-07 言語知識 問題4
今更,N1 2015-07 言語知識 問題4
くまなく,N1 2015-07 言語知識 問題4
安静,N1 2015-07 言語知識 問題4
統合,N1 2015-07 言語知識 問題4
興奮,N1 2015-12 言語知識 問題1
唱えた,N1 2015-12 言語知識 問題1
変遷,N1 2015-12 言語知識 問題1
値する,N1 2015-12 言語知識 問題1
随時,N1 2015-12 言語知識 問題1
励んで,N1 2015-12 言語知識 問題1
合意,N1 2015-12 言語知識 問題2
帰結,N1 2015-12 言語知識 問題2
適用,N1 2015-12 言語知識 問題2
順応,N1 2015-12 言語知識 問題2
データベース,N1 2015-12 言語知識 問題2
コミュニケーション,N1 2015-12 言語知識 問題2
メディア,N1 2015-12 言語知識 問題2
スクリーン,N1 2015-12 言語知識 問題2
強制,N1 2015-12 言語知識 問題2
圧迫,N1 2015-12 言語知識 問題2
束縛,N1 2015-12 言語知識 問題2
固執,N1 2015-12 言語知識 問題2
あざやか,N1 2015-12 言語知識 問題2
おおらか,N1 2015-12 言語知識 問題2
すみやか,N1 2015-12 言語知識 問題2
ささやか,N1 2015-12 言語知識 問題2
分厚い,N1 2015-12 言語知識 問題2
幅広い,N1 2015-12 言語知識 問題2
広大な,N1 2015-12 言語知識 問題2
重厚な,N1 2015-12 言語知識 問題2
高低,N1 2015-12 言語知識 問題2
出没,N1 2015-12 言語知識 問題2
明暗,N1 2015-12 言語知識 問題2
起伏,N1 2015-12 言語知識 問題2
引き寄せた,N1 2015-12 言語知識 問題2
呼び込んだ,N1 2015-12 言語知識 問題2
取り戻した,N1 2015-12 言語知識 問題2
受け入れた,N1 2015-12 言語知識 問題2
弁解して,N1 2015-12 言語知識 問題3
考えて,N1 2015-12 言語知識 問題3
反論して,N1 2015-12 言語知識 問題3
謝って,N1 2015-12 言語知識 問題3
言い訳して,N1 2015-12 言語知識 問題3
ありふれた,N1 2015-12 言語知識 問題3
平凡な,N1 2015-12 言語知識 問題3
特殊な,N1 2015-12 言語知識 問題3
幼稚な,N1 2015-12 言語知識 問題3
複雑な,N1 2015-12 言語知識 問題3
うろたえずに,N1 2015-12 言語知識 問題3
嫌がらずに,N1 2015-12 言語知識 問題3
慌てずに,N1 2015-12 言語知識 問題3
怒らずに,N1 2015-12 言語知識 問題3
あきらめずに,N1 2015-12 言語知識 問題3
糸口,N1 2015-12 言語知識 問題3
ストップ,N1 2015-12 言語知識 問題3
マイナス,N1 2015-12 言語知識 問題3
ヒント,N1 2015-12 言語知識 問題3
アドバイス,N1 2015-12 言語知識 問題3
ふいに,N1 2015-12 言語知識 問題3
わざわざ,N1 2015-12 言語知識 問題3
久しぶりに,N1 2015-12 言語知識 問題3
再び,N1 2015-12 言語知識 問題3
突然,N1 2015-12 言語知識 問題3
誇張して,N1 2015-12 言語知識 問題3
積極的に,N1 2015-12 言語知識 問題3
自慢して,N1 2015-12 言語知識 問題3
大げさに,N1 2015-12 言語知識 問題3
大ざっぱに,N1 2015-12 言語知識 問題3
辞任,N1 2015-12 言語知識 問題4
帯びる,N1 2015-12 言語知識 問題4
軌道,N1 2015-12 言語知識 問題4
思い詰める,N1 2015-12 言語知識 問題4
もはや,N1 2015-12 言語知識 問題4
はなはだしい,N1 2015-12 言語知識 問題4
樹木,N1 2016-07 言語知識 問題1
蓄えて,N1 2016-07 言語知識 問題1
陳列,N1 2016-07 言語知識 問題1
華やか,N1 2016-07 言語知識 問題1
鑑定,N1 2016-07 言語知識 問題1
偏って,N1 2016-07 言語知識 問題1
触発,N1 2016-07 言語知識 問題2
啓発,N1 2016-07 言語知識 問題2
教養,N1 2016-07 言語知識 問題2
教訓,N1 2016-07 言語知識 問題2
センス,N1 2016-07 言語知識 問題2
タイミング,N1 2016-07 言語知識 問題2
ステップ,N1 2016-07 言語知識 問題2
ニュアンス,N1 2016-07 言語知識 問題2
展開,N1 2016-07 言語知識 問題2
発散,N1 2016-07 言語知識 問題2
流出,N1 2016-07 言語知識 問題2
転向,N1 2016-07 言語知識 問題2
遂げる,N1 2016-07 言語知識 問題2
尽くす,N1 2016-07 言語知識 問題2
果たす,N1 2016-07 言語知識 問題2
極める,N1 2016-07 言語知識 問題2
頻繁に,N1 2016-07 言語知識 問題2
緊密に,N1 2016-07 言語知識 問題2
活発に,N1 2016-07 言語知識 問題2
円滑に,N1 2016-07 言語知識 問題2
すっきり,N1 2016-07 言語知識 問題2
からからに,N1 2016-07 言語知識 問題2
へとへとに,N1 2016-07 言語知識 問題2
ぎっしり,N1 2016-07 言語知識 問題2
押し込む,N1 2016-07 言語知識 問題2
切り出す,N1 2016-07 言語知識 問題2
割り当てる,N1 2016-07 言語知識 問題2
持ち上げる,N1 2016-07 言語知識 問題2
端的,N1 2016-07 言語知識 問題3
明白に,N1 2016-07 言語知識 問題3
部分的に,N1 2016-07 言語知識 問題3
大げさに,N1 2016-07 言語知識 問題3
主に,N1 2016-07 言語知識 問題3
わずらわしい,N1 2016-07 言語知識 問題3
苦手な,N1 2016-07 言語知識 問題3
面倒な,N1 2016-07 言語知識 問題3
単調な,N1 2016-07 言語知識 問題3
膨大な,N1 2016-07 言語知識 問題3
かろうじて,N1 2016-07 言語知識 問題3
なぜか,N1 2016-07 言語知識 問題3
何とか,N1 2016-07 言語知識 問題3
すぐに,N1 2016-07 言語知識 問題3
たまたま,N1 2016-07 言語知識 問題3
自尊心,N1 2016-07 言語知識 問題3
イメージ,N1 2016-07 言語知識 問題3
コントロール,N1 2016-07 言語知識 問題3
スタイル,N1 2016-07 言語知識 問題3
プライド,N1 2016-07 言語知識 問題3
ささいな,N1 2016-07 言語知識 問題3
重要な,N1 2016-07 言語知識 問題3
新たな,N1 2016-07 言語知識 問題3
小さな,N1 2016-07 言語知識 問題3
深刻な,N1 2016-07 言語知識 問題3
とまどって,N1 2016-07 言語知識 問題3
困って,N1 2016-07 言語知識 問題3
驚いて,N1 2016-07 言語知識 問題3
怖がって,N1 2016-07 言語知識 問題3
悔やんで,N1 2016-07 言語知識 問題3
規制,N1 2016-07 言語知識 問題4
入手,N1 2016-07 言語知識 問題4
素早い,N1 2016-07 言語知識 問題4
経緯,N1 2016-07 言語知識 問題4
退く,N1 2016-07 言語知識 問題4
還元,N1 2016-07 言語知識 問題4
潤す,N1 2017-07 言語知識 問題1
殺菌,N1 2017-07 言語知識 問題1
託された,N1 2017-07 言語知識 問題1
傾斜,N1 2017-07 言語知識 問題1
阻まれて,N1 2017-07 言語知識 問題1
暴露,N1 2017-07 言語知識 問題1
一環,N1 2017-07 言語知識 問題2
一体,N1 2017-07 言語知識 問題2
内部,N1 2017-07 言語知識 問題2
部門,N1 2017-07 言語知識 問題2
クリアに,N1 2017-07 言語知識 問題2
ストレートに,N1 2017-07 言語知識 問題2
シンプルに,N1 2017-07 言語知識 問題2
コンスタントに,N1 2017-07 言語知識 問題2
さかのぼって,N1 2017-07 言語知識 問題2
よみがえって,N1 2017-07 言語知識 問題2
引き返して,N1 2017-07 言語知識 問題2
立ち直って,N1 2017-07 言語知識 問題2
意欲,N1 2017-07 言語知識 問題2
志願,N1 2017-07 言語知識 問題2
欲求,N1 2017-07 言語知識 問題2
念願,N1 2017-07 言語知識 問題2
敬った,N1 2017-07 言語知識 問題2
仰いだ,N1 2017-07 言語知識 問題2
たたえた,N1 2017-07 言語知識 問題2
もてなした,N1 2017-07 言語知識 問題2
悪,N1 2017-07 言語知識 問題2
非,N1 2017-07 言語知識 問題2
苦,N1 2017-07 言語知識 問題2
没,N1 2017-07 言語知識 問題2
ますます,N1 2017-07 言語知識 問題2
しきりに,N1 2017-07 言語知識 問題2
もっぱら,N1 2017-07 言語知識 問題2
せめて,N1 2017-07 言語知識 問題2
粘り強く,N1 2017-07 言語知識 問題3
覚悟して,N1 2017-07 言語知識 問題3
油断せずに,N1 2017-07 言語知識 問題3
思い切って,N1 2017-07 言語知識 問題3
あきらめずに,N1 2017-07 言語知識 問題3
入念に,N1 2017-07 言語知識 問題3
厳しく公平に,N1 2017-07 言語知識 問題3
細かく丁寧に,N1 2017-07 言語知識 問題3
興味を持って,N1 2017-07 言語知識 問題3
責任を持って,N1 2017-07 言語知識 問題3
うすうす,N1 2017-07 言語知識 問題3
おそらく,N1 2017-07 言語知識 問題3
さすがに,N1 2017-07 言語知識 問題3
なんとなく,N1 2017-07 言語知識 問題3
とっくに,N1 2017-07 言語知識 問題3
難点,N1 2017-07 言語知識 問題3
悪いところ,N1 2017-07 言語知識 問題3
惜しいところ,N1 2017-07 言語知識 問題3
無駄なところ,N1 2017-07 言語知識 問題3
不安なところ,N1 2017-07 言語知識 問題3
むっとしたようだった,N1 2017-07 言語知識 問題3
驚いたような顔をしていた,N1 2017-07 言語知識 問題3
怒ったような顔をしていた,N1 2017-07 言語知識 問題3
疲れたような顔をしていた,N1 2017-07 言語知識 問題3
飽きたような顔をしていた,N1 2017-07 言語知識 問題3
照会した,N1 2017-07 言語知識 問題3
問い合わせた,N1 2017-07 言語知識 問題3
申し込んだ,N1 2017-07 言語知識 問題3
知らせた,N1 2017-07 言語知識 問題3
訪ねた,N1 2017-07 言語知識 問題3
昇進,N1 2017-07 言語知識 問題4
配布,N1 2017-07 言語知識 問題4
滅びる,N1 2017-07 言語知識 問題4
発足,N1 2017-07 言語知識 問題4
提起,N1 2017-07 言語知識 問題4
見落とす,N1 2017-07 言語知識 問題4
回顧,N1 2018-07 言語知識 問題1
偽り,N1 2018-07 言語知識 問題1
嫌悪感,N1 2018-07 言語知識 問題1
自粛,N1 2018-07 言語知識 問題1
戒めたい,N1 2018-07 言語知識 問題1
丘陵,N1 2018-07 言語知識 問題1
設置,N1 2018-07 言語知識 問題2
残留,N1 2018-07 言語知識 問題2
所持,N1 2018-07 言語知識 問題2
在庫,N1 2018-07 言語知識 問題2
アウト,N1 2018-07 言語知識 問題2
エラー,N1 2018-07 言語知識 問題2
リスク,N1 2018-07 言語知識 問題2
ダウン,N1 2018-07 言語知識 問題2
切実な,N1 2018-07 言語知識 問題2
堅実な,N1 2018-07 言語知識 問題2
安泰な,N1 2018-07 言語知識 問題2
安易な,N1 2018-07 言語知識 問題2
拒絶,N1 2018-07 言語知識 問題2
駆除,N1 2018-07 言語知識 問題2
遮断,N1 2018-07 言語知識 問題2
隔離,N1 2018-07 言語知識 問題2
がらりと,N1 2018-07 言語知識 問題2
ずらりと,N1 2018-07 言語知識 問題2
けろりと,N1 2018-07 言語知識 問題2
ちらりと,N1 2018-07 言語知識 問題2
親しまれて,N1 2018-07 言語知識 問題2
なだめられて,N1 2018-07 言語知識 問題2
勧められて,N1 2018-07 言語知識 問題2
ゆだねられて,N1 2018-07 言語知識 問題2
供述,N1 2018-07 言語知識 問題2
言及,N1 2018-07 言語知識 問題2
告白,N1 2018-07 言語知識 問題2
通話,N1 2018-07 言語知識 問題2
すみやか,N1 2018-07 言語知識 問題3
元の通りに,N1 2018-07 言語知識 問題3
できるだけきれいに,N1 2018-07 言語知識 問題3
できるだけ早く,N1 2018-07 言語知識 問題3
決めた通りに,N1 2018-07 言語知識 問題3
漠然としていた,N1 2018-07 言語知識 問題3
ぼんやりしていた,N1 2018-07 言語知識 問題3
ごちゃごちゃしていた,N1 2018-07 言語知識 問題3
あっさりしていた,N1 2018-07 言語知識 問題3
はっきりしていた,N1 2018-07 言語知識 問題3
妨害する,N1 2018-07 言語知識 問題3
だます,N1 2018-07 言語知識 問題3
いたずらする,N1 2018-07 言語知識 問題3
からかう,N1 2018-07 言語知識 問題3
じゃまする,N1 2018-07 言語知識 問題3
エレガント,N1 2018-07 言語知識 問題3
活動的な,N1 2018-07 言語知識 問題3
地味な,N1 2018-07 言語知識 問題3
上品な,N1 2018-07 言語知識 問題3
個性的な,N1 2018-07 言語知識 問題3
つかの間,N1 2018-07 言語知識 問題3
短い,N1 2018-07 言語知識 問題3
久しぶりの,N1 2018-07 言語知識 問題3
充実した,N1 2018-07 言語知識 問題3
十分な,N1 2018-07 言語知識 問題3
しくじって,N1 2018-07 言語知識 問題3
緊張して,N1 2018-07 言語知識 問題3
失敗して,N1 2018-07 言語知識 問題3
遅刻して,N1 2018-07 言語知識 問題3
誤解して,N1 2018-07 言語知識 問題3
巧み,N1 2018-07 言語知識 問題4
配属,N1 2018-07 言語知識 問題4
乗り出す,N1 2018-07 言語知識 問題4
面識,N1 2018-07 言語知識 問題4
抜粋,N1 2018-07 言語知識 問題4
心当たり,N1 2018-07 言語知識 問題4
猛烈,N1 2019-07 言語知識 問題1
克服,N1 2019-07 言語知識 問題1
崩れやすい,N1 2019-07 言語知識 問題1
繁殖,N1 2019-07 言語知識 問題1
履歴,N1 2019-07 言語知識 問題1
映える,N1 2019-07 言語知識 問題1
レーダー,N1 2019-07 言語知識 問題2
モーター,N1 2019-07 言語知識 問題2
センサー,N1 2019-07 言語知識 問題2
レバー,N1 2019-07 言語知識 問題2
絶大な,N1 2019-07 言語知識 問題2
盛大な,N1 2019-07 言語知識 問題2
雄大な,N1 2019-07 言語知識 問題2
壮大な,N1 2019-07 言語知識 問題2
ここちよく,N1 2019-07 言語知識 問題2
いさぎよく,N1 2019-07 言語知識 問題2
喜ばしく,N1 2019-07 言語知識 問題2
輝かしく,N1 2019-07 言語知識 問題2
従事,N1 2019-07 言語知識 問題2
勤務,N1 2019-07 言語知識 問題2
在籍,N1 2019-07 言語知識 問題2
就労,N1 2019-07 言語知識 問題2
暴れて,N1 2019-07 言語知識 問題2
にじんで,N1 2019-07 言語知識 問題2
震えて,N1 2019-07 言語知識 問題2
ゆがんで,N1 2019-07 言語知識 問題2
不当,N1 2019-07 言語知識 問題2
無効,N1 2019-07 言語知識 問題2
禁物,N1 2019-07 言語知識 問題2
偏見,N1 2019-07 言語知識 問題2
はらはらと,N1 2019-07 言語知識 問題2
びくびくと,N1 2019-07 言語知識 問題2
どきどきと,N1 2019-07 言語知識 問題2
ひしひしと,N1 2019-07 言語知識 問題2
コンパクト,N1 2019-07 言語知識 問題3
新型の,N1 2019-07 言語知識 問題3
小型の,N1 2019-07 言語知識 問題3
家族向きの,N1 2019-07 言語知識 問題3
若者向きの,N1 2019-07 言語知識 問題3
極力,N1 2019-07 言語知識 問題3
できるだけ,N1 2019-07 言語知識 問題3
大幅に,N1 2019-07 言語知識 問題3
一気に,N1 2019-07 言語知識 問題3
思い切って,N1 2019-07 言語知識 問題3
つぶやく,N1 2019-07 言語知識 問題3
ゆっくり言う,N1 2019-07 言語知識 問題3
大きな声で言う,N1 2019-07 言語知識 問題3
早口で言う,N1 2019-07 言語知識 問題3
小さな声で言う,N1 2019-07 言語知識 問題3
不審,N1 2019-07 言語知識 問題3
でたらめな,N1 2019-07 言語知識 問題3
頼りない,N1 2019-07 言語知識 問題3
怪しい,N1 2019-07 言語知識 問題3
あいまいな,N1 2019-07 言語知識 問題3
ばてて,N1 2019-07 言語知識 問題3
疲れて,N1 2019-07 言語知識 問題3
飽きて,N1 2019-07 言語知識 問題3
のどが渇いて,N1 2019-07 言語知識 問題3
おなかがすいて,N1 2019-07 言語知識 問題3
まっとうする,N1 2019-07 言語知識 問題3
継続する,N1 2019-07 言語知識 問題3
完了する,N1 2019-07 言語知識 問題3
実行する,N1 2019-07 言語知識 問題3
担当する,N1 2019-07 言語知識 問題3
簡素,N1 2019-07 言語知識 問題4
解明,N1 2019-07 言語知識 問題4
ほほえましい,N1 2019-07 言語知識 問題4
目安,N1 2019-07 言語知識 問題4
様相,N1 2019-07 言語知識 問題4
交える,N1 2019-07 言語知識 問題4
披露,N1 2019-12 言語知識 問題1
砕けて,N1 2019-12 言語知識 問題1
執着,N1 2019-12 言語知識 問題1
債務,N1 2019-12 言語知識 問題1
貢献,N1 2019-12 言語知識 問題1
潔い,N1 2019-12 言語知識 問題1
証言,N1 2019-12 言語知識 問題2
開示,N1 2019-12 言語知識 問題2
供述,N1 2019-12 言語知識 問題2
表明,N1 2019-12 言語知識 問題2
圧倒的に,N1 2019-12 言語知識 問題2
精力的に,N1 2019-12 言語知識 問題2
急進的に,N1 2019-12 言語知識 問題2
普遍的に,N1 2019-12 言語知識 問題2
手つかず,N1 2019-12 言語知識 問題2
臆病,N1 2019-12 言語知識 問題2
気がかり,N1 2019-12 言語知識 問題2
迷惑,N1 2019-12 言語知識 問題2
推移,N1 2019-12 言語知識 問題2
過程,N1 2019-12 言語知識 問題2
転換,N1 2019-12 言語知識 問題2
変容,N1 2019-12 言語知識 問題2
損なわれて,N1 2019-12 言語知識 問題2
恐れられて,N1 2019-12 言語知識 問題2
崩されて,N1 2019-12 言語知識 問題2
危ぶまれて,N1 2019-12 言語知識 問題2
ぐらぐらと,N1 2019-12 言語知識 問題2
どんよりと,N1 2019-12 言語知識 問題2
ずっしりと,N1 2019-12 言語知識 問題2
じめじめと,N1 2019-12 言語知識 問題2
歴然,N1 2019-12 言語知識 問題2
整然,N1 2019-12 言語知識 問題2
続々,N1 2019-12 言語知識 問題2
堂々,N1 2019-12 言語知識 問題2
異例,N1 2019-12 言語知識 問題3
珍しい,N1 2019-12 言語知識 問題3
めでたい,N1 2019-12 言語知識 問題3
立派な,N1 2019-12 言語知識 問題3
幸運な,N1 2019-12 言語知識 問題3
打ち込んだ,N1 2019-12 言語知識 問題3
失敗した,N1 2019-12 言語知識 問題3
苦労した,N1 2019-12 言語知識 問題3
協力した,N1 2019-12 言語知識 問題3
熱中した,N1 2019-12 言語知識 問題3
ルーズ,N1 2019-12 言語知識 問題3
けちな,N1 2019-12 言語知識 問題3
だらしない,N1 2019-12 言語知識 問題3
無関心な,N1 2019-12 言語知識 問題3
厳しい,N1 2019-12 言語知識 問題3
つぶさに,N1 2019-12 言語知識 問題3
のんびりと,N1 2019-12 言語知識 問題3
繰り返し,N1 2019-12 言語知識 問題3
詳細に,N1 2019-12 言語知識 問題3
懐かしそうに,N1 2019-12 言語知識 問題3
脈絡,N1 2019-12 言語知識 問題3
うそ,N1 2019-12 言語知識 問題3
終わり,N1 2019-12 言語知識 問題3
面白み,N1 2019-12 言語知識 問題3
つながり,N1 2019-12 言語知識 問題3
吟味,N1 2019-12 言語知識 問題3
決定,N1 2019-12 言語知識 問題3
提案,N1 2019-12 言語知識 問題3
検討,N1 2019-12 言語知識 問題3
報告,N1 2019-12 言語知識 問題3
要望,N1 2019-12 言語知識 問題4
覆す,N1 2019-12 言語知識 問題4
繁盛,N1 2019-12 言語知識 問題4
くじける,N1 2019-12 言語知識 問題4
ひたむき,N1 2019-12 言語知識 問題4
互角,N1 2019-12 言語知識 問題4
干渉,N1 2020-12 言語知識 問題1
粘って,N1 2020-12 言語知識 問題1
巧妙,N1 2020-12 言語知識 問題1
促した,N1 2020-12 言語知識 問題1
措置,N1 2020-12 言語知識 問題1
振興,N1 2020-12 言語知識 問題1
エラー,N1 2020-12 言語知識 問題2
ノルマ,N1 2020-12 言語知識 問題2
ダメージ,N1 2020-12 言語知識 問題2
クレーム,N1 2020-12 言語知識 問題2
軌道,N1 2020-12 言語知識 問題2
経緯,N1 2020-12 言語知識 問題2
経路,N1 2020-12 言語知識 問題2
軌跡,N1 2020-12 言語知識 問題2
絶大な,N1 2020-12 言語知識 問題2
壮大な,N1 2020-12 言語知識 問題2
盛大な,N1 2020-12 言語知識 問題2
甚大な,N1 2020-12 言語知識 問題2
みっちり,N1 2020-12 言語知識 問題2
ぐっすり,N1 2020-12 言語知識 問題2
べったり,N1 2020-12 言語知識 問題2
めっきり,N1 2020-12 言語知識 問題2
消去,N1 2020-12 言語知識 問題2
駆除,N1 2020-12 言語知識 問題2
削除,N1 2020-12 言語知識 問題2
撤去,N1 2020-12 言語知識 問題2
おそれられて,N1 2020-12 言語知識 問題2
あやぶまれて,N1 2020-12 言語知識 問題2
にらまれて,N1 2020-12 言語知識 問題2
しぶられて,N1 2020-12 言語知識 問題2
びくびく,N1 2020-12 言語知識 問題2
おどおど,N1 2020-12 言語知識 問題2
うずうず,N1 2020-12 言語知識 問題2
はらはら,N1 2020-12 言語知識 問題2
エキスパート,N1 2020-12 言語知識 問題3
発明家,N1 2020-12 言語知識 問題3
協力者,N1 2020-12 言語知識 問題3
責任者,N1 2020-12 言語知識 問題3
専門家,N1 2020-12 言語知識 問題3
凝視した,N1 2020-12 言語知識 問題3
ざっと見た,N1 2020-12 言語知識 問題3
じっと見た,N1 2020-12 言語知識 問題3
ちらっと見た,N1 2020-12 言語知識 問題3
ぼうっと見た,N1 2020-12 言語知識 問題3
架空,N1 2020-12 言語知識 問題3
素敵な,N1 2020-12 言語知識 問題3
思い出の,N1 2020-12 言語知識 問題3
想像の,N1 2020-12 言語知識 問題3
変な,N1 2020-12 言語知識 問題3
かねがね,N1 2020-12 言語知識 問題3
できれば,N1 2020-12 言語知識 問題3
以前から,N1 2020-12 言語知識 問題3
ぜひ,N1 2020-12 言語知識 問題3
早いうちに,N1 2020-12 言語知識 問題3
当面,N1 2020-12 言語知識 問題3
しばらくは,N1 2020-12 言語知識 問題3
直接は,N1 2020-12 言語知識 問題3
まさか,N1 2020-12 言語知識 問題3
大して,N1 2020-12 言語知識 問題3
ぼやいている,N1 2020-12 言語知識 問題3
冗談を言っている,N1 2020-12 言語知識 問題3
わがままを言っている,N1 2020-12 言語知識 問題3
愚痴を言っている,N1 2020-12 言語知識 問題3
独り言を言っている,N1 2020-12 言語知識 問題3
もはや,N1 2020-12 言語知識 問題4
円滑,N1 2020-12 言語知識 問題4
怠る,N1 2020-12 言語知識 問題4
失脚,N1 2020-12 言語知識 問題4
収容,N1 2020-12 言語知識 問題4
実に,N1 2020-12 言語知識 問題4
遺憾,N1 2021-07 言語知識 問題1
閉鎖,N1 2021-07 言語知識 問題1
心遣い,N1 2021-07 言語知識 問題1
憤った,N1 2021-07 言語知識 問題1
貧富,N1 2021-07 言語知識 問題1
治癒,N1 2021-07 言語知識 問題1
脱却,N1 2021-07 言語知識 問題2
駆除,N1 2021-07 言語知識 問題2
却下,N1 2021-07 言語知識 問題2
除去,N1 2021-07 言語知識 問題2
全盛,N1 2021-07 言語知識 問題2
旺盛,N1 2021-07 言語知識 問題2
盛況,N1 2021-07 言語知識 問題2
盛大,N1 2021-07 言語知識 問題2
設けられて,N1 2021-07 言語知識 問題2
装われて,N1 2021-07 言語知識 問題2
据えられて,N1 2021-07 言語知識 問題2
施されて,N1 2021-07 言語知識 問題2
転移,N1 2021-07 言語知識 問題2
投影,N1 2021-07 言語知識 問題2
感染,N1 2021-07 言語知識 問題2
余波,N1 2021-07 言語知識 問題2
目先,N1 2021-07 言語知識 問題2
手中,N1 2021-07 言語知識 問題2
足場,N1 2021-07 言語知識 問題2
背後,N1 2021-07 言語知識 問題2
しょんほり,N1 2021-07 言語知識 問題2
ぎくしゃく,N1 2021-07 言語知識 問題2
ぼんやり,N1 2021-07 言語知識 問題2
うろちょろ,N1 2021-07 言語知識 問題2
になう,N1 2021-07 言語知識 問題2
いたわる,N1 2021-07 言語知識 問題2
やしなう,N1 2021-07 言語知識 問題2
かかげる,N1 2021-07 言語知識 問題2
寡黙,N1 2021-07 言語知識 問題3
口数が少ない,N1 2021-07 言語知識 問題3
知識に乏しい,N1 2021-07 言語知識 問題3
意見が少ない,N1 2021-07 言語知識 問題3
話題に乏しい,N1 2021-07 言語知識 問題3
紛糾した,N1 2021-07 言語知識 問題3
盛り上がった,N1 2021-07 言語知識 問題3
長引いた,N1 2021-07 言語知識 問題3
