recognitionTarget,appearances
大幅,5
はっきり,4
めきめき,4
わずらわしい,4
意外,4
円滑,4
徐々に,4
絶大,4
面倒,4
がっかり,3
ぜひ,3
とっくに,3
どんより,3
ノルマ,3
はらはら,3
ひそか,3
ひとまず,3
還元,3
危険,3
駆除,3
誇張,3
互角,3
支援,3
失敗,3
重要,3
触発,3
心配,3
真剣,3
盛大,3
退屈,3
張り切る,3
転換,3
念願,3
配布,3
飽きる,3
あきらめずに,2
アップ,2
アドバイス,2
いまに,2
イメージ,2
うろたえる,2
エラー,2
おそらく,2
おどおど,2
お手上げ,2
かすれる,2
かたくな,2
キープ,2
キャリア,2
クレーム,2
こっそり,2
コンスタント,2
ざっと,2
さわやか,2
しっかり,2
じっと,2
しばらく,2
じめじめ,2
シンプル,2
ずうずうしい,2
すがすがしい,2
すぐに,2
すっきり,2
ストレート,2
すみやか,2
センス,2
タブー,2
ダメージ,2
だらしない,2
ちらっと,2
てきぱき,2
できるだけ,2
どうしようもない,2
とても,2
どろどろ,2
なじむ,2
なぜか,2
ニュアンス,2
のんびり,2
はかどる,2
ひたむき,2
ヒント,2
へとへと,2
ぼうっと,2
ほっと,2
ぼんやり,2
まぎらわしい,2
もはや,2
ゆっくり,2
リスク,2
ルーズ,2
依存,2
委託,2
一環,2
引き渡す,2
加工,2
果敢,2
戒める,2
割り当てる,2
完結,2
干渉,2
慣れる,2
簡素,2
肝心,2
期待,2
軌跡,2
軌道,2
逆らう,2
急激,2
供述,2
競争,2
興奮,2
驚き,2
極力,2
均等,2
緊密,2
苦手,2
苦労,2
掲げる,2
経緯,2
軽率,2
潔い,2
堅実,2
嫌がる,2
見込み,2
見落とす,2
厳しい,2
厳正,2
工面,2
巧妙,2
慌てる,2
貢献,2
合致,2
克明,2
困る,2
採取,2
錯覚,2
志願,2
思い切って,2
施す,2
事前,2
自慢,2
質素,2
実施,2
遮断,2
釈明,2
弱気,2
手分け,2
収容,2
順応,2
順調,2
少ない,2
詳細,2
譲る,2
振興,2
深刻,2
申し込む,2
進呈,2
推移,2
設ける,2
繊細,2
素早い,2
阻む,2
壮大,2
損なう,2
多い,2
怠る,2
大げさ,2
大して,2
探知,2
地味な,2
中止,2
兆し,2
張り合う,2
調達,2
提案,2
適応,2
展開,2
当面,2
踏襲,2
特殊,2
熱中,2
派生,2
背後,2
漠然,2
発散,2
発足,2
抜粋,2
反省,2
反論,2
繁盛,2
非常,2
不当,2
部門,2
復旧,2
覆す,2
分担,2
分別,2
平凡,2
並列,2
変,2
返却,2
返上,2
慕う,2
膨大,2
没頭,2
無謀,2
目先,2
油断,2
用意,2
欲求,2
絡む,2
利益,2
流出,2
臨む,2
歴然,2
あいにく,1
あいまい,1
あいまいな,1
アウト,1
あきらめた,1
あきらめて,1
アクシデント,1
あざやか,1
あじけなかった,1
あっけない,1
あっさり,1
あどけない,1
あまり,1
あまりに,1
あやぶむ,1
あゆみ,1
あらかじめ,1
ありえない,1
ありきたり,1
ありきたりの,1
ありふれた,1
いいかげん,1
いかにも,1
いくつか,1
いさぎよい,1
いたずらする,1
いただく,1
いたって,1
いたわる,1
いちずに,1
いつしか,1
いっそう,1
いつでも,1
いやみ,1
いらいら,1
インスピレーション,1
インタビュー,1
ウエイト,1
うすうす,1
うずうず,1
うそ,1
うなだれる,1
うやむや,1
うるさい,1
うれしい知らせ,1
うろうろ,1
うろちょろ,1
うんざり,1
エキスパート,1
エレガント,1
おおげさ,1
おおむね,1
おおらか,1
おさまって,1
おそれる,1
おだやか,1
おなかがすいて,1
おのずと,1
おびただしい,1
おぼれる,1
および腰,1
おろそか,1
お借りしました,1
お貸ししました,1
カーソル,1
かいて,1
かかげる,1
がさがさ,1
かすか,1
かなう,1
かなり,1
かねがね,1
かばう,1
かみ合う,1
がやがや,1
からかう,1
からから,1
からっと,1
がらみ,1
がらり,1
かろうじて,1
かろやか,1
ぎくしゃく,1
ぎこちない,1
ぎっしり,1
きっぱり,1
きめる,1
キャッチ,1
キャラクター,1
クールな,1
くじける,1
ぐずぐず,1
くずれる,1
ぐちゃぐちゃ,1
ぐっすり,1
ぐったり,1
くつろぐ,1
くまなく,1
くよくよ,1
ぐらぐら,1
クリア,1
ぐるみ,1
けち,1
けろり,1
ここちよい,1
こじれる,1
コスト,1
ごちゃごちゃ,1
ごつごつ,1
ことわる,1
こまやか,1
コミュニケーション,1
これから,1
これまで,1
コントラスト,1
コントロール,1
コンパクト,1
サイクル,1
さかのぼる,1
さきごろ,1
ささい,1
ささやか,1
さすがに,1
サポート,1
ざらざら,1
さらさらと,1
しいて,1
シェプ,1
しかたない,1
しかたなく,1
しがみつく,1
しきたり,1
じきに,1
しきりに,1
しくじる,1
じっくり,1
しつこく誘われている,1
しっとり,1
しとやか,1
しなやか,1
シビア,1
しびれる,1
シフト,1
しぶる,1
じゃまする,1
しょんほり,1
しわざ,1
じわじわ,1
しんなり,1
すくすく,1
すくって,1
すぐには,1
ずくめ,1
スクリーン,1
スケール,1
すこし,1
すさまじい,1
スタイル,1
ずっしり,1
ずっと,1
ステータス,1
ステップ,1
すでに,1
ストック,1
ストップ,1
すなおには,1
ずばり,1
すべすべ,1
すべて,1
スポット,1
ずらり,1
ずれ込む,1
せいぜい,1
ぜいたく,1
せめて,1
センサー,1
そぶり,1
ぞんざい,1
だいたい,1
だいぶ,1
タイミング,1
ダウン,1
たしか,1
たしかに,1
たたえた,1
ただで,1
たどる,1
だます,1
たまたま,1
だらだら,1
だんだん,1
チーフ,1
チャージ,1
チャンス,1
ちらり,1
つかの間,1
つくづく,1
つたう,1
つながり,1
つぶさに,1
つぶやく,1
つまむ,1
データベース,1
できるだけ早く,1
できる限り,1
できれば,1
でたらめ,1
てっきり,1
デマ,1
テンポ,1
どきどき,1
とっさに,1
どっさり,1
トップ,1
とまどう,1
トレーニング,1
なかなか,1
なぞり,1
なだめる,1
なつく,1
なれなれしい,1
なんとなく,1
にぎわう,1
にじむ,1
になう,1
にらむ,1
にわかに,1
ネック,1
ねばねば,1
ノイズ,1
のぞんだ,1
のどが渇いて,1
のろのろ,1
ハードル,1
はがす,1
はがれる,1
はきはき,1
はさんで,1
バックアップ,1
ばてる,1
はなはだしい,1
パワー,1
びい,1
びくびく,1
ひしひし,1
びっくり,1
びっくりした,1
びっしょり,1
ひっそり,1
ピッチ,1
ひやひや,1
ピントを合わせる,1
ひんやり,1
ふいに,1
フォロー,1
ふざけた態度で,1
ふまじめだった,1
プライド,1
プラス,1
ブランク,1
プレゼン,1
プレッシャー,1
ブロック,1
ふんわり,1
ペース,1
べたべた,1
べったり,1
ベテラン,1
ポーズ,1
ほかと比べて特に悪かった,1
ほかと比べて特に下がった,1
ほかと比べて特に上がった,1
ほかと比べて特に良かった,1
ほぐれる,1
ポジション,1
ほどける,1
ほとんどない,1
ほほえましい,1
ぼやく,1
マイナス,1
まさか,1
まじめ,1
まじめな表情で,1
ますます,1
まだ,1
まちまち,1
マッチ,1
まっとうする,1
まとめて,1
まばら,1
まみれ,1
まもなく,1
みっちり,1
むしゃくしゃ,1
むしょうに,1
むっと,1
メイン,1
めくる,1
めずらしい知らせ,1
めちゃめちゃ,1
めっきり,1
メディア,1
めでたい,1
めんどうくさ,1
モーター,1
もくろむ,1
もたらす,1
もたれる,1
モダン,1
もっともらしい,1
もっぱら,1
もてなす,1
もどかしい,1
もろい,1
やかましい,1
やしなう,1
やせ衰える,1
やっと,1
やつれる,1
やはり,1
やむをえず,1
やんわり,1
ゆううつ,1
ゆがむ,1
ゆだねる,1
ゆとり,1
ユニーク,1
ゆるやか,1
よほど,1
よみがえる,1
よわい,1
リード,1
リタイア,1
リミット,1
レーダー,1
レバー,1
ろく,1
ロス,1
ロック,1
わがままを言っている,1
わざわざ,1
わずかに,1
わりに,1
悪,1
悪いところ,1
圧倒的,1
圧迫,1
扱い,1
安易,1
安静,1
安泰,1
案の定,1
以前,1
以前と変わらない,1
以前より大きくなっている,1
以前より値上がりしている,1
依頼,1
偉大,1
威張る,1
意外な知らせ,1
意義,1
意見が少ない,1
意思,1
意地,1
意欲,1
慰める,1
異色,1
異例,1
遺憾,1
一因,1
一気に,1
一体,1
一度に,1
一度に大勢来た,1
一任,1
一律,1
逸材,1
引き寄せる,1
引き受ける,1
引き返す,1
引き落とす,1
引用,1
雨が降って蒸し暑かった,1
運行,1
運用,1
影響,1
映える,1
映画,1
閲覧,1
延長,1
援助,1
援助を受けて,1
遠隔,1
遠慮,1
応援,1
押し込む,1
押収,1
旺盛,1
臆病,1
恩恵,1
温和,1
下を向いて,1
何とか,1
加味,1
可決,1
家族向きの,1
寡黙,1
果たして,1
果たす,1
架空,1
稼働,1
荷が重い,1
華々しい,1
華やか,1
過程,1
我慢,1
画一,1
画期的,1
会心,1
解明,1
解約,1
回顧,1
回想,1
回復,1
壊す,1
快挙,1
怪しい,1
悔しがる,1
悔やむ,1
懐かしい,1
懐かしそうに,1
改めて,1
改革,1
改修,1
開始,1
開示,1
概略,1
該当,1
拡充,1
格段,1
核心,1
獲得,1
覚悟,1
隔離,1
楽しい,1
掛け合う,1
活動的な,1
活発,1
活躍,1
刊,1
勘違い,1
勧める,1
完成,1
完全,1
完了する,1
感染,1
感動,1
慣習,1
監督,1
管轄,1
簡単,1
緩和,1
鑑定,1
間違える,1
間近,1
間柄,1
頑,1
頑丈,1
企てる,1
危ぶむ,1
喜ばしい,1
喜劇,1
基準,1
寄付,1
寄与,1
帰結,1
気がかり,1
気に障る,1
気まま,1
気掛かり,1
気軽,1
気候,1
気心,1
気配,1
規制,1
規模,1
起動,1
起伏,1
輝かしい,1
偽り,1
疑う,1
疑わしい,1
疑問を持った,1
却下,1
丘陵,1
久しぶり,1
久しぶりに,1
及ぶ,1
及ぼす,1
吸い上げる,1
急,1
急いで,1
急進的に,1
急性,1
究明,1
巨匠,1
拒む,1
拒絶,1
拠点,1
挙げる,1
協力,1
協力者,1
強,1
強み,1
強引,1
強固,1
強硬,1
強制,1
強大,1
恐れる,1
教訓,1
教養,1
興す,1
興味を持って,1
興味を持っている,1
驚いたような顔をしていた,1
驚く,1
仰ぐ,1
仰天,1
凝視,1
凝縮,1
極まりない,1
極めて,1
極める,1
勤務,1
均一,1
禁物,1
筋道,1
緊張,1
緊迫,1
近接,1
吟味,1
苦,1
苦境,1
苦情,1
苦難,1
駆け込む,1
駆使,1
具体的な,1
愚か,1
愚痴,1
愚痴を言っている,1
繰り越す,1
繰り返し,1
群衆,1
傾斜,1
啓発,1
契約,1
形が気に入っている,1
恵まれる,1
憩い,1
携わる,1
敬う,1
系,1
経験,1
経路,1
継続,1
計画,1
計算,1
警備,1
軽快,1
激しく怒って,1
決めた通りに,1
決定,1
結合,1
結成,1
結束,1
結末,1
健やか,1
圏,1
堅苦しい,1
嫌悪感,1
懸念,1
検討,1
肩,1
見合わせる,1
見失う,1
見通し,1
見返り,1
元の通りに,1
元祖,1
原本,1
厳,1
厳しく公平に,1
減らす,1
減る,1
玄人,1
現存,1
言い訳,1
言及,1
限りない,1
限りなく,1
個人的な,1
個性的な,1
呼び込む,1
固執,1
枯渇,1
後援,1
後悔,1
誤解,1
交える,1
交錯,1
交付,1
効果,1
厚かましい,1
口数が少ない,1
好況,1
工夫,1
巧み,1
幸運,1
広く知られている,1
広大,1
慌ただしい,1
考え,1
考える,1
考え直す,1
考慮,1
行き詰る,1
行き交う,1
行き着く,1
行き届く,1
行政,1
高い,1
高み,1
高低,1
合意,1
合併,1
克服,1
告白,1
骨折り,1
今,1
今までになく新しい,1
今更,1
困難,1
根こそぎ,1
根拠,1
根源,1
根底,1
混合,1
混乱,1
差がある,1
差がない,1
差し引く,1
差し出す,1
差し上げる,1
差し替える,1
債務,1
催す,1
催促,1
再び,1
最近ではめずらしい,1
最善を尽くす,1
最大,1
最低限,1
採集,1
砕ける,1
細かく丁寧に,1
細工,1
細心,1
在庫,1
在籍,1
削除,1
刷,1
察知,1
殺菌,1
殺到,1
雑な,1
残念,1
残留,1
仕上がる,1
仕返し,1
刺激,1
刺激を受けて,1
始末,1
志望,1
思いがけない,1
思いがけなく,1
思い詰める,1
思い出,1
思い返す,1
指示,1
指導を受けて,1
支障を来す,1
支払う,1
施錠,1
糸口,1
試練,1
誌,1
資質,1
持ち上げる,1
時間をかけて丁寧に,1
時間をとられている,1
時期,1
次々に,1
治癒,1
自,1
自重,1
自粛,1
自制,1
自前,1
自然に,1
自尊心,1
自任,1
自分でチェックする,1
自分でデザインする,1
自分で決める,1
自分で買う,1
自由,1
自立,1
辞任,1
執着,1
失脚,1
質問,1
実,1
実によく,1
実況,1
実権,1
実行,1
実在,1
実情,1
謝る,1
遮る,1
尺度,1
若干,1
若者向きの,1
弱音,1
主,1
主に,1
主導,1
取り次ぐ,1
取り戻す,1
手がかり,1
手つかず,1
手軽,1
手厚い,1
手中,1
手痛い,1
手配,1
手薄,1
手腕,1
受け入れる,1
受賞,1
寿命,1
授ける,1
樹木,1
需要,1
収束,1
周到,1
就労,1
修復,1
終わり,1
終息,1
集約,1
充実,1
充当,1
十分な,1
従事,1
従順,1
従属,1
従来,1
柔軟,1
重み,1
重厚,1
重視,1
重宝,1
熟成,1
熟知,1
出荷,1
出馬,1
出没,1
潤う,1
潤す,1
所持,1
助ける,1
助言,1
助長,1
除去,1
勝手に,1
商品,1
唱える,1
将来,1
小さな,1
小さな声で言う,1
小型,1
少しずつ,1
承諾,1
承認,1
昇進,1
消去,1
焦って取り組んで,1
焦る,1
照会,1
証言,1
上,1
上品な,1
乗り込む,1
乗り出す,1
冗談,1
冗談を言っている,1
場所,1
情けない,1
譲渡,1
職,1
食い込む,1
食い止める,1
食欲をそそる,1
信頼,1
心遣い,1
心構え,1
心細い,1
心地よい,1
心当たりがない,1
心無い,1
慎重,1
振りまく,1
新た,1
新型,1
深く感動した,1
深く同情した,1
深み,1
真っ先に,1
真心,1
親しむ,1
親密,1
辛抱,1
震え,1
震える,1
人一倍,1
人手,1
人柄,1
甚大,1
推理,1
衰退,1
遂げる,1
遂行,1
随時,1
据える,1
成就,1
整然,1
整備,1
晴れていて明るかった,1
正当,1
盛り上がる,1
盛況,1
精力的に,1
誓約書,1
請け負う,1
静止,1
惜しいところ,1
積み立てる,1
積極的な,1
積極的に,1
責任を持って,1
責任者,1
跡地,1
切実,1
切望,1
摂取,1
設置,1
絶叫,1
絶賛,1
絶対,1
絶対に,1
絶滅,1
専門,1
専門家,1
潜ん,1
潜伏,1
羨ましそうな,1
選挙に出る,1
選出,1
全く,1
全盛,1
全然,1
措置,1
粗い,1
素敵,1
喪失,1
爽やか,1
想像,1
早い,1
早いうちに,1
早く正確に,1
早急,1
早口で言う,1
相続,1
相当,1
装われて,1
送る,1
騒然,1
増える,1
促す,1
側,1
息抜き,1
束縛,1
足止め,1
足手まとい,1
足場,1
続々,1
存続,1
存亡,1
尊い,1
尊重,1
打ち込んだ,1
打ち込んでいる,1
打ち切る,1
打撃,1
対比,1
対面,1
耐えがたい,1
帯,1
帯びる,1
待ち伏せ,1
退く,1
代行,1
大きな声で言う,1
大ざっぱ,1
大家,1
大会,1
大歓迎,1
大歓迎だ,1
大筋,1
大口,1
大差,1
大切な知らせ,1
大体同じだ,1
大台,1
卓越,1
託す,1
脱却,1
脱落,1
棚上げ,1
丹念,1
単調,1
担当,1
探索,1
淡い,1
短い,1
短期的な,1
端的,1
弾む,1
断じて,1
断る,1
断念,1
値する,1
知らせる,1
知識,1
遅い,1
遅く,1
遅刻,1
築く,1
蓄える,1
秩序,1
着実,1
中枢,1
中断,1
仲裁,1
忠告,1
忠実に,1
抽選,1
注意深い,1
注文,1
跳ねる,1
長引く,1
長期的な,1
直接,1
直面,1
沈下,1
珍しい,1
陳列,1
追い込む,1
痛烈,1
通話,1
釣り合う,1
低い,1
低迷,1
停滞,1
底力,1
提起,1
締める,1
諦める,1
摘出,1
的確,1
適用,1
撤回,1
撤去,1
添付,1
転がる,1
転移,1
転向,1
伝承,1
怒ったような顔をしていた,1
怒らずに,1
投げ出す,1
投じる,1
投影,1
当,1
統合,1
逃れる,1
透ける,1
頭,1
動揺,1
同調,1
同伴,1
堂々,1
憧れる,1
特産,1
督促,1
独り言を言っている,1
突然,1
届く,1
曇っていて暗かった,1
鈍る,1
内,1
内部,1
難航,1
難点,1
入手,1
入念,1
如実,1
任せる,1
認めるのは難しいと言った,1
熱心,1
粘り強い,1
粘る,1
粘膜,1
悩ましい,1
濃厚,1
濃密,1
能力,1
波及,1
派,1
破棄,1
破損,1
排出,1
排斥,1
背景,1
配給,1
配送,1
配属,1
媒介,1
売れる,1
迫力,1
発覚,1
発射,1
発端,1
発明家,1
抜き打ち,1
抜群,1
伴奏,1
判別,1
反発,1
版,1
繁栄,1
繁殖,1
番組,1
否めない,1
否定的な,1
批判,1
披露,1
疲れたような顔をしていた,1
疲れる,1
皮肉,1
秘める,1
秘密,1
費やす,1
非,1
非常に,1
必死,1
漂う,1
表明,1
評価が高まっている,1
評価を受けて,1
貧富の差,1
頻繁,1
不安そうな,1
不安なところ,1
不穏,1
不況,1
不順,1
不審,1
不注意,1
不備,1
不服,1
不平,1
不満,1
不満を持って,1
不用意,1
不利,1
不慮,1
怖がる,1
普遍的に,1
浮かれる,1
腐敗,1
赴任,1
侮る,1
舞う,1
部下,1
部分的に,1
風が吹いて涼しかった,1
風習,1
風情,1
風潮,1
風土,1
風当たり,1
風物,1
復興,1
幅広い,1
複雑,1
払う,1
払拭,1
分解,1
分割,1
分厚い,1
分配,1
分類,1
憤った,1
奮闘,1
紛れる,1
紛糾,1
並行,1
閉口,1
閉鎖,1
偏り,1
偏る,1
偏見,1
変化,1
変換,1
変形,1
変更,1
変遷,1
変容,1
返済,1
返品,1
便利で役に立っている,1
弁解,1
保護,1
補填,1
報じる,1
報告,1
崩す,1
崩れる,1
抱え込む,1
抱負,1
方針,1
方法,1
芳しいない,1
訪ねる,1
豊富さ,1
飽きたような顔をしていた,1
妨害,1
暴れる,1
暴露,1
望ましい,1
防御,1
没,1
奔放,1
本意,1
本音,1
本気,1
本筋,1
本場,1
満たない,1
満喫,1
密集,1
脈絡,1
無意味,1
無関心,1
無効,1
無残,1
無視,1
無実,1
無邪気,1
無償,1
無駄,1
無駄なところ,1
無駄にする,1
無念,1
矛盾,1
名物,1
明らか,1
明暗,1
明白に,1
迷惑,1
滅びる,1
免除,1
綿密,1
面,1
面識,1
面白み,1
猛,1
猛烈,1
目がさえる,1
目まくるしい,1
目まぐるしい,1
目を閉じて,1
目安,1
目下,1
目覚ましい,1
目的,1
戻す,1
問い詰める,1
問い合わせる,1
問題だと厳しくしかった,1
厄介,1
躍進,1
諭す,1
優位,1
優先的に,1
勇ましい,1
勇敢,1
有数,1
誘う,1
誘致,1
雄大,1
予期,1
予想,1
予想外に遅れている,1
予想通りおもしろい,1
予想通りつまらない,1
予断を許さない,1
予約,1
余計,1
余波,1
預かる,1
幼稚,1
揺らぎ,1
様相,1
要求,1
要請,1
要望,1
養う,1
欲望,1
頼りない,1
落ち込む,1
落胆,1
乱れ,1
履歴,1
理想,1
裏腹,1
裏目,1
率直,1
立ち直る,1
立て替える,1
立派,1
隣接,1
冷静,1
励む,1
零細,1
歴史,1
練る,1
連携,1
連動,1
露骨,1
露出,1
朗らか,1
朗報,1
話を切り出す,1
話題,1
賄う,1
腕前,1
拮抗,1
緻密,1
